"Ticker Symbol","Company Name","City","State","Salary Average","Salary Range"
"XRA","Exeter Resource Corporation","Vancouver","BC","",""
"XRAY","DENTSPLY International Inc.","York","PA","$67,877","$35,360  $100,000"
"XRIT","X-Rite, Incorporated","Grand Rapids Charter Township","MI","",""
"XRM","Xerium Technologies Inc.","Raleigh","NC","",""
"XRTX","Xyratex Ltd.","Havant","Hampshire","",""
"XRX","Xerox Corp.","Norwalk","CT","$109,626","$36,691  $201,634"
"XTEX","Crosstex Energy LP","Dallas","TX","",""
"XTXI","Crosstex Energy Inc.","Dallas","TX","",""
"XWES","World Energy Solutions, Inc.","Worcester","MA","",""
"XYL","Xylem Inc.","White Plains","NY","",""
"YDNT","Young Innovations Inc.","","MO","",""
"YHOO","Yahoo! Inc.","Sunnyvale","CA","$87,839","$42,500  $300,000"
"YORW","York Water Co.","York","PA","",""
"YPF","YPF S.A.","","","",""
"YRCW","YRC Worldwide Inc.","Overland Park","KS","$65,226","$51,978  $78,475"
"YUM","Yum! Brands, Inc.","Louisville","KY","$90,757","$38,000  $500,000"
"Z","Zillow, Inc.","Seattle","WA","$73,527","$57,250  $101,566"
"ZAGG","ZAGG Inc.","Salt Lake City","UT","",""
"ZBRA","Zebra Technologies Corp.","Lincolnshire","IL","$80,253","$50,000  $113,300"
"ZEP","Zep, Inc.","Atlanta","GA","$59,927","$45,000  $75,000"
"WWVY","Warwick Valley Telephone Company","Warwick","NY","",""
"WWW","Wolverine World Wide Inc.","Rockford","MI","$79,147","$39,021  $170,000"
"WWWW","Web.com Group, Inc.","Jacksonville","FL","",""
"WXS","Wright Express Corp.","South Portland","ME","$81,563","$72,000  $94,421"
"WY","Weyerhaeuser Co.","Federal Way","WA","$101,289","$37,419  $350,000"
"WYN","Wyndham Worldwide Corporation","Parsippany-Troy Hills","NJ","",""
"WYNN","Wynn Resorts Ltd.","Las Vegas","NV","",""
"X","United States Steel Corp.","Pittsburgh","PA","$63,867","$40,000  $110,400"
"XATA","XATA Corp.","Eden Prairie","MN","",""
"XCO","EXCO Resources Inc.","Dallas","TX","",""
"XEC","Cimarex Energy Co.","Denver","CO","$129,450","$65,600  $173,250"
"XEL","Xcel Energy Inc.","Minneapolis","MN","$67,274","$49,774  $116,315"
"XG","Extorre Gold Mines Limited","Vancouver","BC","",""
"XIDE","Exide Technologies","Milton","GA","",""
"XLNX","Xilinx Inc.","San Jose","CA","$92,951","$48,000  $290,000"
"XLS","Exelis, Inc.","McLean","VA","",""
"XNPT","Xenoport, Inc.","Santa Clara","CA","$73,968","$37,877  $105,000"
"XOM","Exxon Mobil Corporation","Irving","TX","$114,038","$75,712  $212,000"
"XOMA","XOMA Corporation","Berkeley","CA","$88,150","$47,000  $220,000"
"WRI","Weingarten Realty Investors","Houston","TX","",""
"WRLD","World Acceptance Corp.","Greenville","SC","",""
"WRLS","Telular Corp.","Chicago","IL","",""
"WSCI","WSI Industries Inc.","Monticello","MN","",""
"WSH","Willis Group Holdings Public Limited Company","","","",""
"WSM","Williams-Sonoma Inc.","San Francisco","CA","$84,018","$40,000  $165,000"
"WSO","Watsco Inc.","Miami","FL","$100,000","$55,000  $130,000"
"WST","West Pharmaceutical Services, Inc.","Exton","PA","$80,119","$40,706  $120,000"
"WSTG","Wayside Technology Group, Inc.","Shrewsbury Township","NJ","$86,000","$80,000  $90,000"
"WSTL","Westell Technologies Inc.","Aurora","IL","$146,653","$75,040  $249,400"
"WTI","W&T Offshore Inc.","Houston","TX","$66,425","$10,833  $1,664,000"
"WTR","Aqua America Inc.","Bryn Mawr","PA","",""
