"Ticker Symbol","Period","Revenue"
"AA","2007-12","30748000000"
"AA","2008-12","26901000000"
"AA","2009-12","18439000000"
"AA","2010-12","21013000000"
"AA","2011-12","24951000000"
"AA","TTM","24951000000"
"AAPL","2007-09","24006000000"
"AAPL","2008-09","32479000000"
"AAPL","2009-09","42905000000"
"AAPL","2010-09","65225000000"
"AAPL","2011-09","108249000000"
"AAPL","TTM","127841000000"
"ABX","2006-12","5636535325"
"ABX","2007-12","6332695600"
"ABX","2008-12","7913029155"
"ABX","2009-12","8136000000"
"ABX","2010-12","10924000000"
"ABX","TTM","13457000000"
"AMZN","2007-12","14835000000"
"AMZN","2008-12","19166000000"
"AMZN","2009-12","24509000000"
"AMZN","2010-12","34204000000"
"AMZN","2011-12","48077000000"
"AMZN","TTM","48077000000"
"ANF","2007-01","3318158000"
"ANF","2008-01","3749847000"
"ANF","2009-01","3540276000"
"ANF","2010-01","2928626000"
"ANF","2011-01","3468777000"
"ANF","TTM","3978688000"
"ANR","2006-12","1470321000"
"ANR","2007-12","1489663000"
"ANR","2008-12","1690130000"
"ANR","2009-12","2495507000"
"ANR","2010-12","3917156000"
"ANR","TTM","6025098000"
"APA","2006-12","8288779000"
"APA","2007-12","9977858000"
"APA","2008-12","12327839000"
"APA","2009-12","8614826000"
"APA","2010-12","12092000000"
"APA","TTM","16025000000"
"APC","2006-12","10187000000"
"APC","2007-12","15892000000"
"APC","2008-12","15723000000"
"APC","2009-12","9000000000"
"APC","2010-12","10984000000"
"APC","TTM","12819000000"
"APKT","2007-12","113052000"
"APKT","2008-12","116358000"
"APKT","2009-12","141458000"
"APKT","2010-12","231232000"
"APKT","2011-12","307317000"
"APKT","TTM","307317000"
"APOL","2007-08","2723793000"
"APOL","2008-08","3140931000"
"APOL","2009-08","3974202000"
"APOL","2010-08","4925819000"
"APOL","2011-08","4733022000"
"APOL","TTM","4585277000"
"AXP","2006-12","25900000000"
"AXP","2007-12","27731000000"
"AXP","2008-12","28365000000"
"AXP","2009-12","24523000000"
"AXP","2010-12","27819000000"
"AXP","TTM","29701000000"
"BA","2007-12","66387000000"
"BA","2008-12","60909000000"
"BA","2009-12","68281000000"
"BA","2010-12","64306000000"
"BA","2011-12","68735000000"
"BA","TTM","68735000000"
"BBBY","2007-02","6617429000"
"BBBY","2008-02","7048942000"
"BBBY","2009-02","7208340000"
"BBBY","2010-02","7828793000"
"BBBY","2011-02","8758503000"
"BBBY","TTM","9272543000"
"BIDU","2006-12","837947730"
"BIDU","2007-12","1746712039"
"BIDU","2008-12","3198252000"
"BIDU","2009-12","4447776000"
"BIDU","2010-12","7915074000"
"BIDU","TTM","10557993000"
"BMY","2007-12","19348000000"
"BMY","2008-12","20597000000"
"BMY","2009-12","18808000000"
"BMY","2010-12","19484000000"
"BMY","2011-12","21244000000"
"BMY","TTM","21244000000"
"BP","2006-12","270602000000"
"BP","2007-12","288951000000"
"BP","2008-12","365700000000"
"BP","2009-12","243965000000"
"BP","2010-12","302545000000"
"BP","TTM","386463000000"
"CAT","2006-12","41517000000"
"CAT","2007-12","44958000000"
"CAT","2008-12","51324000000"
"CAT","2009-12","32396000000"
"CAT","2010-12","42588000000"
"CAT","TTM","55702000000"
"CF","2006-12","1949500000"
"CF","2007-12","2756700000"
"CF","2008-12","3921100000"
"CF","2009-12","2608400000"
"CF","2010-12","3965000000"
"CF","TTM","5617100000"
"CHK","2006-12","7325595000"
"CHK","2007-12","7800000000"
"CHK","2008-12","11629000000"
"CHK","2009-12","7702000000"
"CHK","2010-12","9366000000"
"CHK","TTM","10883000000"
"CLF","2007-12","2275200000"
"CLF","2008-12","3609100000"
"CLF","2009-12","2342000000"
"CLF","2010-12","4682200000"
"CLF","2011-12","6794300000"
"CLF","TTM","6794300000"
"CMG","2007-12","1085782000"
"CMG","2008-12","1331968000"
"CMG","2009-12","1518417000"
"CMG","2010-12","1835922000"
"CMG","2011-12","2269548000"
"CMG","TTM","2269548000"
"COP","2006-12","167578000000"
"COP","2007-12","194495000000"
"COP","2008-12","246182000000"
"COP","2009-12","152840000000"
"COP","2010-12","198655000000"
"COP","TTM","242054000000"
"CSCO","2007-07","34922000000"
"CSCO","2008-07","39540000000"
"CSCO","2009-07","36117000000"
"CSCO","2010-07","40040000000"
"CSCO","2011-07","43218000000"
"CSCO","TTM","43724000000"
"CREE","2007-06","394121000"
"CREE","2008-06","493296000"
"CREE","2009-06","567255000"
"CREE","2010-06","867287000"
