"Facebook","Palo Alto, CA","https://www.secondmarket.com/company/facebook","http://facebook.com","Jan 2011","$1.5B"
"Twitter","San Francisco, CA","https://www.secondmarket.com/company/twitter","http://twitter.com/","Dec 2011","$300M"
"Foursquare","New York, NY","https://www.secondmarket.com/company/foursquare","http://foursquare.com/","Jun 2011","$50M"
"Dropbox","San Francisco, CA","https://www.secondmarket.com/company/dropbox","http://www.dropbox.com","Oct 2011","$250M"
"Yelp","San Francisco, CA","https://www.secondmarket.com/company/yelp","http://yelp.com","Jan 2010","$25M"
"Gilt Groupe","New York, NY","https://www.secondmarket.com/company/gilt-groupe","http://www.gilt.com/","May 2011","$138M"
"hulu","Los Angeles, CA","https://www.secondmarket.com/company/hulu","http://www.hulu.com/","Apr 2009","Unknown"
"Square","San Francisco, CA","https://www.secondmarket.com/company/square","http://squareup.com/","Jun 2011","$100M"
"LivingSocial","Washington, DC","https://www.secondmarket.com/company/livingsocial","http://www.livingsocial.com/","Nov 2011","$176M"
"Craigslist","San Francisco, CA","https://www.secondmarket.com/company/craigslist","http://www.craigslist.org/","Aug 2004","$13M"
"Spotify","London, United Kingdom","https://www.secondmarket.com/company/spotify","http://www.spotify.com/","Jun 2011","$100M"
"KAYAK","Norwalk, CT","https://www.secondmarket.com/company/kayak","http://www.kayak.com","Dec 2007","$196M"
"Bloom Energy","Sunnyvale, CA","https://www.secondmarket.com/company/bloom-energy","http://www.bloomenergy.com","Sep 2011","$150M"
"Quora","Palo Alto, CA","https://www.secondmarket.com/company/quora","http://www.quora.com/","Mar 2010","$11M"
"Etsy","Brooklyn, NY","https://www.secondmarket.com/company/etsy","http://www.etsy.com/","Aug 2010","$20M"
"Alibaba Group","Hangzhou, China","https://www.secondmarket.com/company/alibaba-group","http://news.alibaba.com/specials/aboutalibaba/aligroup/index.html","Feb 2004","$82M"
"Bloomberg","New York, NY","https://www.secondmarket.com/company/bloomberg","http://www.bloomberg.com","",""
"Evernote","Mountain View, CA","https://www.secondmarket.com/company/evernote","http://www.evernote.com/","Jul 2011","$50M"
"Airbnb","San Francisco, CA","https://www.secondmarket.com/company/airbnb","http://airbnb.com","Jul 2011","$112M"
"Tumblr","New York, NY","https://www.secondmarket.com/company/tumblr","http://tumblr.com","Sep 2011","$85M"
