"Ticker Symbol","Company Name","Phone Number","Fax Number","Address","Website","Index Membership","Sector","Industry","Full Time Employees"
"FLWS","1-800-Flowers.com Inc.","516-237-6000","516-237-6060","One Old Country Road Suite 500 Carle Place,         NY 11514","","N/A","Services","Specialty Retail, Other","2,300"
"FCTY","1st Century Bancshares, Inc.","310-270-9500","310-270-9599","1875 Century Park East Suite 1400 Los Angeles,         CA 90067","","N/A","Financial","Regional - Pacific Banks","41"
"FCCY","1st Constitution Bancorp","609-655-4500","609-655-5653","2650 Route 130 &amp; Dey Road PO Box 634 Cranbury,         NJ 08512","","N/A","Financial","Regional - Northeast Banks","145"
"SRCE","1st Source Corporation","574-235-2000","574-235-2297","100 North Michigan Street South Bend,         IN 46601 United States -","","N/A","Financial","Regional - Midwest Banks","1,160"
"FUBC","1st United Bancorp, Inc.","561-362-3435","561-362-3436","One North Federal Highway Boca Raton,         FL 33432 United States -","","N/A","Financial","Regional - Mid-Atlantic Banks","241"
"TCHC","21st Century Holding Co.","954-581-9993","954-316-9201","3661 West Oakland Park Boulevard Suite 300 Lauderdale Lakes,         FL 33311","","N/A","Financial","Property & Casualty Insurance","127"
"VNET","21Vianet Group, Inc.","86 10 8456 2121","86 10 8456 2619","1 Jiuxianqiao East Road M5 Beijing,          100016","","N/A","Technology","Information Technology Services","582"
"SSRX","3SBio Inc.","86 24 2581 1820","","No 3 A1 Road 10 Shenyang Economy &amp; Technology Development Zone Shenyang,          110027","","","","",""
"JOBS","51job Inc.","86 21 6160 1888","86 21 6879 6266","1387 Zhang Dong Road Building 3 Pudong District Shanghai,          201203","","N/A","Services","Staffing & Outsourcing Services","3,738"
"EGHT","8x8 Inc.","408-727-1885","408-980-0432","810 West Maude Avenue Sunnyvale,         CA 94085 United States -","","N/A","Technology","Communication Equipment","254"
"SHLM","A. Schulman, Inc.","330-666-3751","330-668-7204","3550 West Market Street Akron,         OH 44333 United States -","","N/A","Basic Materials","Specialty Chemicals","3,000"
"AONE","A123 Systems, Inc.","617-778-5700","","200 West Street Waltham,         MA 02451 United States -","","","","",""
"AAON","AAON Inc.","918-583-2266","918-583-6094","2425 South Yukon Tulsa,         OK 74107 United States -","","N/A","Industrial Goods","General Building Materials","1,394"
"ASTM","Aastrom Biosciences, Inc.","734-930-5555","734-665-0485","Dominos Farms Lobby K 24 Frank Lloyd Wright Drive Ann Arbor,         MI 48105","","N/A","Healthcare","Biotechnology","45"
"ABAX","Abaxis Inc.","510-675-6500","510-441-6150","3240 Whipple Road Union City,         CA 94587 United States -","","N/A","Healthcare","Diagnostic Substances","388"
"ABMD","Abiomed Inc.","978-646-1400","978-777-8411","22 Cherry Hill Drive Danvers,         MA 01923 United States -","","N/A","Healthcare","Medical Appliances & Equipment","374"
"AXAS","Abraxas Petroleum Corp.","210-490-4788","210-918-6675","18803 Meisner Drive San Antonio,         TX 78258 United States -","","N/A","Basic Materials","Independent Oil & Gas","74"
"ACTG","Acacia Research Corporation","949-480-8300","949-480-8301","500 Newport Center Drive 7th Floor Newport Beach,         CA 92660","","N/A","Services","Research Services","48"
"ACHC","Acadia Healthcare Company, Inc.","615-861-6000","615-261-9685","830 Crescent Centre Drive Suite 610 Franklin,         TN 37067","","N/A","Healthcare","Specialized Health Services","N/A"
"ACAD","ACADIA Pharmaceuticals, Inc.","858-558-2871","858-558-2872","3911 Sorrento Valley Boulevard San Diego,         CA 92121 United States -","","N/A","Healthcare","Biotechnology","27"
"ACCL","Accelrys Inc.","858-799-5000","858-799-5100","10188 Telesis Court Suite 100 San Diego,         CA 92121","","N/A","Technology","Application Software","580"
"ANCX","Access National Corp.","703-871-2100","703-766-3386","1800 Robert Fulton Drive Suite 300 Reston,         VA 20191","","N/A","Financial","Regional - Mid-Atlantic Banks","277"
"ARAY","Accuray Incorporated","408-716-4600","408-716-4601","1310 Chesapeake Terrace Sunnyvale,         CA 94089 United States -","","N/A","Healthcare","Medical Appliances & Equipment","1,100"
